date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2023-08-06,16:00 (08:00),Community Shield,FA Community Shield,Sun,Neutral,D,1 (1),1 (4),Arsenal,,,55,"81,145",Kyle Walker,4-2-3-1,Stuart Attwell,Match Report,Arsenal won on penalty kicks following normal time
2023-08-11,20:00 (12:00),Premier League,Matchweek 1,Fri,Away,W,3,0,Burnley,1.9,0.3,65,"21,572",Kevin De Bruyne,4-2-3-1,Craig Pawson,Match Report,
2023-08-16,22:00 (12:00),Super Cup,UEFA Super Cup,Wed,Home,D,1 (5),1 (4),es Sevilla,,,74,,Kyle Walker,4-2-3-1,François Letexier,Match Report,
2023-08-19,20:00 (12:00),Premier League,Matchweek 2,Sat,Home,W,1,0,Newcastle Utd,1.0,0.3,59,"53,419",Kyle Walker,4-2-3-1,Robert Jones,Match Report,
2023-08-27,14:00 (06:00),Premier League,Matchweek 3,Sun,Away,W,2,1,Sheffield Utd,3.5,0.7,79,"31,336",Kyle Walker,4-2-3-1,Jarred Gillett,Match Report,
2023-09-02,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,5,1,Fulham,2.2,1.4,68,"52,899",Kyle Walker,4-2-3-1,Michael Oliver,Match Report,
2023-09-16,15:00 (07:00),Premier League,Matchweek 5,Sat,Away,W,3,1,West Ham,3.6,0.9,68,"62,475",Kyle Walker,4-2-3-1,Andy Madley,Match Report,
2023-09-19,20:00 (12:00),Champions Lg,Group stage,Tue,Home,W,3,1,rs Red Star,4.1,0.8,76,"50,204",Kyle Walker,4-2-3-1,João Pinheiro,Match Report,
2023-09-23,15:00 (07:00),Premier League,Matchweek 6,Sat,Home,W,2,0,Nott'ham Forest,1.3,1.0,57,"53,413",Kyle Walker,4-2-3-1,Anthony Taylor,Match Report,
2023-09-27,20:00 (12:00),EFL Cup,Third round,Wed,Away,L,0,1,Newcastle Utd,,,67,"51,692",Nathan Aké,3-2-4-1,Chris Kavanagh,Match Report,
2023-09-30,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,L,1,2,Wolves,0.9,0.4,68,"31,415",Kyle Walker,4-2-3-1,Craig Pawson,Match Report,
2023-10-04,21:00 (12:00),Champions Lg,Group stage,Wed,Away,W,3,1,de RB Leipzig,2.2,0.5,68,"45,228",Kyle Walker,3-2-4-1,Artur Soares Dias,Match Report,
2023-10-08,16:30 (08:30),Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,0.5,0.4,51,"60,233",Kyle Walker,4-3-3,Michael Oliver,Match Report,
2023-10-21,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,W,2,1,Brighton,0.8,0.8,55,"53,466",Kyle Walker,3-2-4-1,Robert Jones,Match Report,
2023-10-25,21:00 (12:00),Champions Lg,Group stage,Wed,Away,W,3,1,ch Young Boys,4.2,0.4,69,"31,500",Rúben Dias,3-2-4-1,Morten Krogh,Match Report,
